Date,Class,Study,Drive,Quant. Value of Water_Consumed_Daily 1L- 4L,"Qual. Value of Water_Consumed_Daily (Hydrated(>=4), normal(>=3), dehydrated (<3))",Walk,Work,Session
9/6/2024,Yes,4,Yes,4,Hydrated,270,4,F24
9/7/2024,No,10,No,4,Hydrated,150,0,F24
9/8/2024,No,10,No,3,Normal,115,0,F24
9/9/2024,Yes,2,Yes,4,Hydrated,400,4,F24
9/10/2024,Yes,4,Yes,3,Normal,189,4,F24
9/11/2024,Yes,6,Yes,3,Normal,120,4,F24
9/12/2024,Yes,10,Yes,1,Dehydrated,80,4,F24
9/13/2024,Yes,3,No,4,Hydrated,300,0,F24
9/14/2024,No,5,No,4,Hydrated,450,0,F24
9/15/2024,No,10,Yes,1,Dehydrated,70,4,F24
9/16/2024,Yes,6,Yes,2,Dehydrated,100,4,F24
9/17/2024,Yes,6,Yes,2,Dehydrated,120,4,F24
9/18/2024,Yes,3,Yes,4,Hydrated,300,4,F24
9/19/2024,Yes,10,No,1,Dehydrated,30,0,F24
9/20/2024,Yes,10,No,1,Dehydrated,20,0,F24
9/21/2024,No,5,Yes,2,Dehydrated,100,4,F24
9/22/2024,No,7,Yes,2,Dehydrated,150,4,F24
9/23/2024,Yes,8,Yes,1,Dehydrated,40,4,F24
9/24/2024,Yes,8,Yes,1,Dehydrated,50,4,F24
9/25/2024,Yes,7,Yes,1,Dehydrated,55,4,F24
9/26/2024,Yes,9,Yes,1,Dehydrated,30,4,F24
9/27/2024,Yes,8,Yes,2,Dehydrated,45,4,F24
9/28/2024,No,11,No,2,Dehydrated,80,0,F24
9/29/2024,No,12,Yes,1,Dehydrated,50,0,F24
9/30/2024,Yes,10,Yes,2,Dehydrated,65,4,F24
10/1/2024,Yes,10,Yes,2,Dehydrated,70,4,F24
10/2/2024,Yes,10,Yes,1,Dehydrated,65,4,F24
10/3/2024,Yes,8,Yes,3,Normal,90,4,F24
10/4/2024,Yes,10,Yes,2,Dehydrated,50,4,F24
